id,datetime,temperature,humidity,heat_index,lstm_temp,lstm_hum,lstm_heat,arima_temp,arima_hum,arima_heat
1,29-09-2020 21:40:26,20.26,40.11,20.55,20.26,40.11,20.55,20.26,40.11,20.55
2,30-09-2020 20:21:08,22.771969820185227,48.57480822230159,24.978507587108798,23.823888778686523,38.68240737915039,25.732166290283203,25.0,43.40819479279341,25.758020923259885
3,30-09-2020 20:21:08,22.244517770912186,51.41434191240167,24.909006121772194,23.823930740356445,38.682403564453125,25.732160568237305,25.0,43.4081978128348,25.758019057261063
4,30-09-2020 20:21:09,22.92755816621926,48.8441723831844,24.978507587108798,23.823965072631836,38.682395935058594,25.732154846191406,25.0,43.40820083287591,25.75801719141457
5,30-09-2020 20:21:13,22.141117114364317,51.79336271194157,24.909006121772194,23.824003219604492,38.68238830566406,25.73215103149414,25.0,43.4082038529168,25.758015325720397
6,30-09-2020 20:21:19,22.959417383401306,48.88892844895677,24.978507587108798,23.824037551879883,38.68238830566406,25.732145309448242,25.0,43.4082068729574,25.758013460178525
7,30-09-2020 20:21:22,22.124732942131065,51.14248177354932,24.909006121772194,23.82406997680664,38.6823844909668,25.732139587402344,25.0,43.408209892997775,25.758011594788947
8,30-09-2020 20:21:30,22.71663333716935,51.74872134276651,24.909006121772194,23.824100494384766,38.682376861572266,25.732135772705078,25.0,43.40821291303787,25.75800972955164
9,30-09-2020 20:21:36,22.448087572512925,48.73711284965844,24.978507587108798,23.824127197265625,38.682376861572266,25.732131958007812,25.0,43.40821593307773,25.75800786446661
10,30-09-2020 20:21:40,22.70116206245007,51.15277792939491,24.909006121772194,23.824155807495117,38.682373046875,25.732128143310547,25.0,43.40821895311732,25.758005999533825
11,30-09-2020 20:21:46,22.19578685798609,48.16237346001523,24.978507587108798,23.824180603027344,38.682369232177734,25.732126235961914,25.0,43.40822197315667,25.75800413475329
12,30-09-2020 20:21:51,22.37158068225754,48.2146445215922,24.978507587108798,23.82420539855957,38.682369232177734,25.73212242126465,25.0,43.40822499319575,25.75800227012498
13,30-09-2020 20:21:55,22.578207880558534,51.27001352997003,24.909006121772194,23.82422637939453,38.6823616027832,25.732120513916016,25.0,43.40822801323459,25.75800040564889
14,30-09-2020 20:21:59,22.333790028508897,48.481089233509856,24.978507587108798,23.824249267578125,38.6823616027832,25.73211669921875,25.0,43.40823103327316,25.757998541325
15,30-09-2020 20:22:02,22.68345631045242,48.15853784504351,24.978507587108798,23.824268341064453,38.68235778808594,25.732114791870117,25.0,43.408234053311496,25.757996677153308
16,30-09-2020 20:22:08,22.951658086132703,48.735738510969234,24.978507587108798,23.82428741455078,38.68235778808594,25.732112884521484,25.0,43.408237073349554,25.757994813133788
17,30-09-2020 20:22:12,22.818535623319047,51.51036021846344,24.909006121772194,23.82430648803711,38.68235397338867,25.73210906982422,25.0,43.40824009338738,25.757992949266445
18,30-09-2020 20:22:18,22.11295697930074,48.10239496174946,24.978507587108798,23.824323654174805,38.68235397338867,25.73210906982422,25.0,43.40824311342492,25.75799108555125
19,30-09-2020 20:22:21,22.541806547526186,51.99729542082237,24.909006121772194,23.824337005615234,38.682350158691406,25.732107162475586,25.0,43.408246133462235,25.7579892219882
20,30-09-2020 20:22:27,22.6576088698143,48.81090656413223,24.978507587108798,23.82435417175293,38.68234634399414,25.732107162475586,25.0,43.40824915349928,25.757987358577278
21,30-09-2020 20:22:33,22.779617484652377,48.77750737504511,24.978507587108798,23.82436752319336,38.68234634399414,25.73210334777832,25.0,43.40825217353608,25.757985495318476
22,30-09-2020 20:22:36,22.73542091327823,51.90376599204313,24.909006121772194,23.82438087463379,38.68234634399414,25.73210334777832,25.0,43.408255193572614,25.75798363221178
23,30-09-2020 20:22:40,22.793014285280893,48.928897046711356,24.978507587108798,23.824392318725586,38.682342529296875,25.732101440429688,25.0,43.4082582136089,25.75798176925717
24,30-09-2020 20:22:44,22.35301208234085,48.94488035340695,24.978507587108798,23.824403762817383,38.682342529296875,25.732101440429688,25.0,43.40826123364493,25.757979906454647
25,30-09-2020 20:22:48,22.58953595927557,48.731258138163206,24.978507587108798,23.824413299560547,38.68233871459961,25.732101440429688,25.0,43.408264253680706,25.75797804380419
26,30-09-2020 20:22:51,22.794545602744424,48.49905803488334,24.978507587108798,23.824424743652344,38.682334899902344,25.732097625732422,25.0,43.40826727371623,25.75797618130579
27,30-09-2020 20:22:55,22.57127352614038,48.73651465382774,24.978507587108798,23.82443618774414,38.682334899902344,25.732097625732422,25.0,43.40827029375149,25.75797431895943
28,30-09-2020 20:22:59,22.425142114390184,48.70529338358397,24.978507587108798,23.824443817138672,38.68233108520508,25.732097625732422,25.0,43.4082733137865,25.757972456765103
29,30-09-2020 20:23:02,22.602956965269957,48.27488574572889,24.978507587108798,23.824451446533203,38.68233108520508,25.732097625732422,25.0,43.40827633382126,25.757970594722796
30,30-09-2020 20:23:06,22.67625564872678,48.47016478550745,24.978507587108798,23.824460983276367,38.68233108520508,25.73209571838379,25.0,43.40827935385576,25.75796873283249
31,30-09-2020 20:23:10,22.32122144345347,48.54611569239203,24.978507587108798,23.8244686126709,38.68233108520508,25.73209571838379,25.0,43.40828237389001,25.75796687109418
32,30-09-2020 20:23:13,22.381547949601156,48.87403005897044,24.978507587108798,23.824474334716797,38.68233108520508,25.73209571838379,25.0,43.408285393924004,25.757965009507853
33,30-09-2020 20:23:17,22.106875144427026,48.39280204091732,24.978507587108798,23.824481964111328,38.68233108520508,25.73209571838379,25.0,43.40828841395774,25.75796314807349
